Alcohol Present,Distracted in Driving,height,weight,Age,Sex,Race,premovement before collision,Body Category,Pre-event Location,Curb Weight,Model Year,Clock-form Direction of force,Speed Limit,Number of lanes,Traffic Condition,Surface Condition,Surface Type,Uphill or Downhill,Crash Type,Lighting Condition,Related to Intersection,Traffic Conrtol Functioning,Climate,Alignment of Road,CASEWGT,year,month,Day in Week
0.0,1.0,183,98,61,1,1,15,3,1,2580,2006,350,89,5,0,1,2,1,2,1,0,0,1,1,74,2013,10,1
0.0,1.0,165,56,18,1,1,1,0,1,1500,2007,30,72,5,1,2,2,1,4,3,2,2,2,1,162,2010,2,3
0.0,1.0,155,59,35,2,1,1,0,1,1440,2002,340,72,3,1,1,1,1,4,1,2,2,1,1,15,2009,7,5
0.0,2.0,165,75,59,1,2,1,3,1,2390,2010,0,105,3,0,1,2,4,1,3,1,0,1,1,163,2013,1,1
0.0,1.0,191,86,17,2,1,14,1,1,1520,2008,10,72,2,0,1,2,1,4,1,2,0,1,2,245,2010,6,1
0.0,1.0,173,73,54,1,3,1,0,1,1350,2007,10,56,5,0,1,3,1,4,1,2,0,1,1,67,2009,6,4
0.0,1.0,152,64,50,2,1,14,0,1,1860,2009,40,56,2,0,1,2,1,4,1,2,0,1,2,135,2012,6,7
0.0,2.0,173,97,44,1,1,11,0,7,1462,2020,270,105,2,2,2,2,1,4,2,2,2,5,1,85,2021,1,7
0.0,1.0,168,64,34,2,1,1,1,1,2262,2014,20,80,2,0,2,2,1,4,1,2,0,2,1,233,2018,10,7
0.0,1.0,188,103,63,1,2,1,0,1,1821,2000,330,56,4,0,1,1,1,4,1,2,0,1,1,301,2017,4,1
0.0,1.0,158,64,55,2,1,1,1,1,1800,2001,350,48,3,1,2,2,1,4,3,2,2,2,1,4620,2018,10,5
0.0,1.0,163,73,63,2,1,1,0,1,1135,2008,0,48,3,0,1,1,2,4,1,2,0,1,1,5527,2019,5,6
0.0,2.0,147,59,79,2,3,1,0,1,1430,2005,0,56,2,0,1,2,1,1,1,2,0,1,1,34,2010,3,4
0.0,1.0,188,86,59,1,1,1,1,1,2066,1998,340,48,4,1,1,2,1,4,1,2,2,1,1,62,2018,1,5
0.0,1.0,168,82,40,1,1,11,3,1,2130,2017,310,56,2,1,1,2,1,4,1,2,2,1,1,31,2018,4,5
0.0,1.0,157,61,63,2,1,1,0,1,1420,2005,60,40,2,0,1,2,4,4,3,2,0,5,1,14,2013,3,7
0.0,1.0,165,82,43,2,1,14,1,1,2511,2016,270,72,5,0,1,2,1,4,1,3,0,1,3,360,2017,5,3
0.0,2.0,183,68,20,1,1,1,0,1,1660,2007,290,40,2,3,1,1,1,4,3,2,2,1,1,111,2010,7,5
1.0,1.0,163,61,25,2,1,1,0,2,1470,2005,30,64,4,0,1,1,4,2,5,0,0,1,1,10,2010,7,5
0.0,1.0,165,59,61,2,1,1,1,1,1630,2013,330,56,2,0,1,2,1,2,1,2,0,1,1,560,2015,1,4
0.0,1.0,183,86,55,1,1,1,0,1,1490,2011,240,72,2,2,5,2,1,4,1,2,2,9,1,190,2012,2,6
